user_id,tag_1,tag_2,tag_3,tag_4,tag_5,num_trajectories,num_stay_points,num_clusters
user_787,leisure-pitch: 1,leisure-park: 1,amenity-school: 1,amenity-bank: 1,amenity-pharmacy: 1,86,372,6
user_788,leisure-playground: 5,amenity-restaurant: 3,amenity-fast_food: 2,amenity-kindergarten: 1,leisure-park: 1,99,254,5
user_789,amenity-fast_food: 6,tourism-artwork: 3,shop-hairdresser: 2,shop-supermarket: 2,amenity-pub: 1,91,491,12
user_790,leisure-swimming_pool: 2,leisure-playground: 1,leisure-sports_centre: 1,,,39,173,3
user_791,shop-hairdresser: 4,shop-bakery: 1,shop-furniture: 1,leisure-swimming_pool: 1,leisure-playground: 1,41,217,5
user_792,shop-hairdresser: 2,shop-beauty: 2,amenity-cafe: 1,amenity-pub: 1,shop-confectionery: 1,22,157,5
user_793,amenity-bank: 2,amenity-school: 1,amenity-university: 1,,,39,278,4
user_794,shop-hairdresser: 5,amenity-bank: 4,shop-bakery: 4,amenity-cafe: 3,amenity-bar: 3,108,419,8
user_795,amenity-bar: 3,shop-hairdresser: 3,shop-beauty: 1,leisure-park: 1,amenity-bank: 1,32,256,3
user_796,shop-locksmith: 1,,,,,41,146,1
user_797,amenity-restaurant: 14,amenity-nightclub: 4,amenity-place_of_worship: 2,amenity-bar: 2,amenity-hospital: 2,83,912,10
user_798,amenity-school: 3,shop-hairdresser: 2,leisure-sports_centre: 1,amenity-bar: 1,amenity-pharmacy: 1,28,173,5
user_799,leisure-pitch: 6,leisure-stadium: 1,leisure-sports_centre: 1,leisure-garden: 1,amenity-bar: 1,41,189,5
user_800,amenity-bank: 4,amenity-courthouse: 2,leisure-park: 2,shop-confectionery: 2,amenity-cafe: 2,49,280,9
user_801,leisure-playground: 6,amenity-restaurant: 5,amenity-bank: 3,amenity-pub: 2,shop-bakery: 2,51,257,6
user_802,leisure-park: 3,amenity-university: 2,leisure-garden: 2,leisure-swimming_pool: 1,shop-confectionery: 1,31,199,5
user_803,amenity-bar: 4,amenity-restaurant: 3,shop-beauty: 2,shop-hairdresser: 2,shop-furniture: 2,67,295,5
user_804,amenity-bank: 6,leisure-garden: 4,historic-monument: 3,leisure-park: 2,leisure-sports_centre: 1,64,337,9
user_805,amenity-restaurant: 3,amenity-hospital: 3,amenity-school: 1,amenity-clinic: 1,shop-bakery: 1,108,661,11
user_806,amenity-restaurant: 3,amenity-university: 2,leisure-park: 2,shop-bakery: 1,shop-hardware: 1,43,211,7
user_807,shop-confectionery: 2,shop-furniture: 1,amenity-school: 1,amenity-bank: 1,amenity-pub: 1,44,273,9
user_808,amenity-school: 4,leisure-pitch: 2,leisure-sports_centre: 2,leisure-playground: 1,amenity-pharmacy: 1,111,1256,13
user_809,amenity-restaurant: 4,amenity-bar: 2,amenity-bank: 2,amenity-pub: 2,amenity-cafe: 2,84,385,3
user_810,leisure-park: 2,amenity-restaurant: 2,amenity-place_of_worship: 1,tourism-attraction: 1,amenity-bank: 1,41,191,5
user_811,amenity-bar: 7,amenity-restaurant: 6,leisure-park: 2,amenity-bank: 2,leisure-playground: 1,82,339,9
user_812,leisure-sports_centre: 3,leisure-playground: 2,leisure-park: 1,shop-hardware: 1,amenity-townhall: 1,46,246,6
user_813,shop-furniture: 6,shop-hairdresser: 4,shop-beauty: 3,shop-bakery: 3,leisure-park: 2,76,286,7
user_814,amenity-school: 2,leisure-swimming_pool: 2,,,,66,502,7
user_815,amenity-restaurant: 1,amenity-cafe: 1,,,,37,179,6
user_816,leisure-pitch: 4,leisure-playground: 2,leisure-park: 1,amenity-school: 1,leisure-fitness_centre: 1,29,178,7
user_817,amenity-doctors: 2,amenity-college: 2,amenity-place_of_worship: 1,amenity-pharmacy: 1,tourism-artwork: 1,99,478,5
user_818,amenity-restaurant: 5,amenity-bank: 4,amenity-bar: 4,leisure-pitch: 4,amenity-cafe: 3,31,190,7
user_819,leisure-swimming_pool: 2,leisure-playground: 1,leisure-sports_centre: 1,,,36,284,5
user_820,leisure-park: 1,amenity-bank: 1,amenity-veterinary: 1,amenity-restaurant: 1,amenity-university: 1,44,147,4
user_821,leisure-garden: 3,tourism-attraction: 2,amenity-restaurant: 2,amenity-cafe: 2,amenity-kindergarten: 2,38,181,5
user_822,leisure-park: 2,,,,,37,359,3
user_823,amenity-kindergarten: 1,amenity-arts_centre: 1,amenity-clinic: 1,leisure-park: 1,leisure-sports_centre: 1,94,611,7
user_824,amenity-kindergarten: 2,amenity-restaurant: 2,leisure-park: 2,shop-confectionery: 1,shop-supermarket: 1,52,345,9
